Menu,Category,Calories,Fat,Carb,Fiber,Protein
Tazo® Bottled Black Mango,Drink,150,0,38,0,0
Sous Vide Egg Bites: Bacon & Gruyere,Food,310,22,9,0,19
Hot Chocolate,Drink,320,9,47,4,14
Ice Cream Cone Sugar Cookie,Food,250,14,29,1,3
Sprouted Grain Vegan Bagel,Food,330,6,57,7,12
Fresh Blueberries and Honey Greek Yogurt Parfait,Food,240,3,42,2,14
Caramel Macchiato,Drink,250,7,35,0,10
Chonga Bagel,Food,300,5,50,3,12
Chocolate Cake Pop,Food,160,8,23,1,2
French Toast - Bantam Bagels (2 Pack),Food,200,8,30,0,6
Iced Caffè Mocha,Drink,230,6,36,4,9
Vanilla Latte,Drink,250,6,37,0,12
Chicken Artichoke on Ancient Grain Flatbread,Food,510,27,37,5,24
Chocolate Chunk Muffin,Food,440,21,60,2,7
Iced Espresso Classics - Vanilla Latte,Drink,130,3,21,0,5
Berry Trio Yogurt,Food,240,3,39,3,14
Mocha Light Frappuccino® Blended Coffee,Drink,140,1,28,1,4
Apple Fritter,Food,460,23,56,2,7
Tazo® Bottled Tazoberry,Drink,150,0,38,0,0
Justin's Chocolate Hazelnut Butter,Food,180,14,12,3,4
Starbucks Refreshers™ Strawberry Lemonade,Drink,90,0,27,0,0
Flat White,Drink,180,7,18,0,12
Raspberry Swirl Loaf Cake,Food,420,17,61,1,6
Toffeedoodle,Food,300,13,44,1,3
Tazo® Bottled Black with Lemon,Drink,140,0,35,0,0
PB&J Protein Box,Food,520,26,53,5,20
Blueberry Scone,Food,420,17,61,2,5
Iced Espresso Classics - Caffe Mocha,Drink,140,3,23,0,5
Cinnamon Dolce Latte,Drink,260,6,40,0,11
Tazo® Bottled Iced Passion,Drink,70,0,17,0,0
Almond Croissant,Food,410,22,45,3,10
Slow-Roasted Ham Cheese Small Sandwich,Food,350,18,31,1,16
Old-Fashioned Glazed Doughnut,Food,480,27,56,1,5
Starbucks Refreshers™ Raspberry Pomegranate,Drink,90,0,27,0,0
Teavana® Shaken Iced Passion Tango™ Tea Lemonade,Drink,90,0,24,0,0
Justin's Classic Almond Butter,Food,190,18,6,3,7
Double-Smoked Bacon Cheddar & Egg Sandwich,Food,490,27,40,1,21
Iced Caffè Latte,Drink,130,5,13,0,8
Evolution Fresh™ Organic Ginger Limeade,Drink,110,0,28,0,0
Cinnamon Dolce Crème,Drink,200,6,28,0,10
Teavana® Shaken Iced Black Tea Lemonade,Drink,70,0,17,0,0
Herbed Chicken & Fig Spread Small Sandwich,Food,300,8,43,2,19
Tazo® Bottled Lemon Ginger,Drink,120,0,31,0,0
Volpi™ Pepperoni & Tomato Savory Foldover,Food,270,14,27,2,10
Lemon Chiffon Yogurt,Food,340,13,38,0,18
Iced Espresso Classics - Caramel Macchiato,Drink,130,3,21,0,5
