Code,Major,MajorCategory,Total,Men,Women,WomenShare,MedianSalary
3607,PHARMACOLOGY,Life Science,1762,515,1247,0.71,45000
3609,ZOOLOGY,Life Science,8409,3050,5359,0.64,26000
3702,STATISTICS,Mathematics,6251,2960,3291,0.53,45000
2406,CIVIL ENGINEERING,Engineering,53153,41081,12072,0.23,50000
5005,GEOSCIENCES,Physical Sciences,1978,809,1169,0.59,36000
2415,METALLURGICAL ENGINEERING,Engineering,856,725,131,0.15,73000
3600,BIOLOGY,Biology,280709,111762,168947,0.60,33400
3611,NEUROSCIENCE,Biology,13663,4944,8719,0.64,35000
2408,ELECTRICAL ENGINEERING,Engineering,81527,65511,16016,0.20,60000
5000,PHYSICAL SCIENCES,Physical Sciences,1436,894,542,0.38,40000
2107,NETWORKING,Computers,7613,5291,2322,0.31,36400
3700,MATHEMATICS,Mathematics,72397,39956,32441,0.45,45000
2101,DATA PROCESSING,Computers,4168,3046,1122,0.27,41300
2412,INDUSTRIAL ENGINEERING,Engineering,18968,12453,6515,0.34,57000
2407,COMPUTER ENGINEERING,Engineering,41542,33258,8284,0.20,60000
3604,ECOLOGY,Life Science,9154,3878,5276,0.58,33000
2500,ENGINEERING TECHNOLOGIES,Engineering,3600,2695,905,0.25,50000
5008,MATERIALS SCIENCE,Engineering,4279,2949,1330,0.31,60000
3605,GENETICS,Biology,3635,1761,1874,0.52,40000
3602,BOTANY,Biology,1329,626,703,0.53,37000
3603,MOLECULAR BIOLOGY,Biology,18300,7426,10874,0.59,40000
2418,NUCLEAR ENGINEERING,Engineering,2573,2200,373,0.14,65000
5007,PHYSICS,Physical Sciences,32142,23080,9062,0.28,45000
2001,COMMUNICATION TECHNOLOGIES,Computers,18035,11431,6604,0.37,35000
1301,ENVIRONMENTAL SCIENCE,Life Science,25965,10787,15178,0.58,35600
5001,"ASTRONOMY, ASTROPHYSICS",Physical Sciences,1792,832,960,0.54,62000
2413,MATERIALS ENGINEERING,Engineering,2993,2020,973,0.33,52000
2405,CHEMICAL ENGINEERING,Engineering,32260,21239,11021,0.34,65000
3701,APPLIED MATHEMATICS,Mathematics,4939,2794,2145,0.43,45000
2417,MARINE ENGINEERING,Engineering,1258,1123,135,0.11,70000
2410,ENVIRONMENTAL ENGINEERING,Engineering,4047,2662,1385,0.34,50000
2105,INFORMATION SCIENCES,Computers,11913,9005,2908,0.24,45000
2404,BIOMEDICAL ENGINEERING,Engineering,14955,8407,6548,0.44,60000
2414,MECHANICAL ENGINEERING,Engineering,91227,80320,10907,0.12,60000
5098,GENERAL SCIENCE,Physical Sciences,62052,27015,35037,0.56,35000
2102,COMPUTER SCIENCE,Computers,128319,99743,28576,0.22,53000
2419,PETROLEUM ENGINEERING,Engineering,2339,2057,282,0.12,110000
2402,BIOLOGICAL ENGINEERING,Engineering,8925,6062,2863,0.32,57100
5006,OCEANOGRAPHY,Physical Sciences,2418,752,1666,0.69,44700
4006,BIOPSYCHOLOGY,Life Science,3831,1667,2164,0.56,41000
3608,PHYSIOLOGY,Biology,22060,8422,13638,0.62,35000
5102,INDUSTRIAL TECHNOLOGIES,Physical Sciences,2116,528,1588,0.75,46000
2403,ARCHITECTURAL ENGINEERING,Engineering,2825,1835,990,0.35,54000
2499,MISCELLANEOUS ENGINEERING,Engineering,9133,7398,1735,0.19,50000
1401,ARCHITECTURE,Engineering,46420,25463,20957,0.45,40000
2502,ELECTRICAL ENGINEERING,Engineering,11565,8181,3384,0.29,52000
2100,INFORMATION SYSTEMS,Computers,36698,27392,9306,0.25,45000
2400,GENERAL ENGINEERING,Engineering,61152,45683,15469,0.25,56000
2106,COMPUTER ADMINISTRATION,Computers,8066,6607,1459,0.18,37500
5004,EARTH SCIENCE,Physical Sciences,10972,5813,5159,0.47,36200
5003,CHEMISTRY,Physical Sciences,66530,32923,33607,0.51,39000
3606,MICROBIOLOGY,Biology,15232,6383,8849,0.58,38000
2401,AEROSPACE ENGINEERING,Engineering,15058,12953,2105,0.14,60000
3699,MISCELLANEOUS BIOLOGY,Biology,10706,4747,5959,0.56,33500
5002,METEOROLOGY,Physical Sciences,4043,2744,1299,0.32,35000
2411,GEOPHYSICAL ENGINEERING,Engineering,720,488,232,0.32,50000
2504,MECHANICAL ENGINEERING,Engineering,4790,4419,371,0.08,40000
3601,BIOCHEMICAL SCIENCES,Life Science,39107,18951,20156,0.52,37400
4005,MATHEMATICS,Mathematics,609,500,109,0.18,42000
